2017-09-18 23:02:52 [main] INFO 	com.erp.erp.ErpApplication-[StartupInfoLogger.java:48]-Starting ErpApplication on harshit-ubuntu with PID 9538 (/home/harshit/ERP/erp/target/classes started by harshit in /home/harshit/ERP/erp)
2017-09-18 23:02:52 [main] INFO 	com.erp.erp.ErpApplication-[SpringApplication.java:593]-No active profile set, falling back to default profiles: default
2017-09-18 23:02:52 [main] INFO 	o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext-[AbstractApplicationContext.java:583]-Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Mon Sep 18 23:02:52 IST 2017]; root of context hierarchy
2017-09-18 23:02:53 [background-preinit] INFO 	o.h.validator.internal.util.Version-[Version.java:30]-HV000001: Hibernate Validator 5.3.5.Final
2017-09-18 23:02:54 [main] INFO 	o.s.b.c.e.t.TomcatEmbeddedServletContainer-[TomcatEmbeddedServletContainer.java:89]-Tomcat initialized with port(s): 8656 (http)
2017-09-18 23:02:54 [main] INFO 	o.a.catalina.core.StandardService-[DirectJDKLog.java:179]-Starting service [Tomcat]
2017-09-18 23:02:54 [main] INFO 	o.a.catalina.core.StandardEngine-[DirectJDKLog.java:179]-Starting Servlet Engine: Apache Tomcat/8.5.20
2017-09-18 23:02:55 [localhost-startStop-1] INFO 	o.a.c.c.C.[.[localhost].[/erp]-[DirectJDKLog.java:179]-Initializing Spring embedded WebApplicationContext
2017-09-18 23:02:55 [localhost-startStop-1] INFO 	o.s.web.context.ContextLoader-[EmbeddedWebApplicationContext.java:276]-Root WebApplicationContext: initialization completed in 2515 ms
2017-09-18 23:02:55 [localhost-startStop-1] INFO 	o.s.b.w.s.ServletRegistrationBean-[ServletRegistrationBean.java:190]-Mapping servlet: 'dispatcherServlet' to [/]
2017-09-18 23:02:55 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'characterEncodingFilter' to: [/*]
2017-09-18 23:02:55 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-09-18 23:02:55 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-09-18 23:02:55 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'requestContextFilter' to: [/*]
2017-09-18 23:02:55 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerAdapter-[RequestMappingHandlerAdapter.java:534]-Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Mon Sep 18 23:02:52 IST 2017]; root of context hierarchy
2017-09-18 23:02:55 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerMapping-[AbstractHandlerMethodMapping.java:543]-Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-09-18 23:02:55 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerMapping-[AbstractHandlerMethodMapping.java:543]-Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-09-18 23:02:55 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:02:55 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:02:55 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:02:56 [main] INFO 	o.s.j.e.a.AnnotationMBeanExporter-[MBeanExporter.java:431]-Registering beans for JMX exposure on startup
2017-09-18 23:02:56 [main] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:179]-Initializing ProtocolHandler ["http-nio-8656"]
2017-09-18 23:02:56 [main] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:179]-Starting ProtocolHandler ["http-nio-8656"]
2017-09-18 23:02:56 [main] INFO 	o.a.tomcat.util.net.NioSelectorPool-[DirectJDKLog.java:179]-Using a shared selector for servlet write/read
2017-09-18 23:02:56 [main] INFO 	o.s.b.c.e.t.TomcatEmbeddedServletContainer-[TomcatEmbeddedServletContainer.java:201]-Tomcat started on port(s): 8656 (http)
2017-09-18 23:02:56 [main] INFO 	com.erp.erp.ErpApplication-[StartupInfoLogger.java:57]-Started ErpApplication in 4.475 seconds (JVM running for 4.813)
2017-09-18 23:06:23 [http-nio-8656-exec-1] INFO 	o.a.c.c.C.[.[localhost].[/erp]-[DirectJDKLog.java:179]-Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-09-18 23:06:23 [http-nio-8656-exec-1] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:489]-FrameworkServlet 'dispatcherServlet': initialization started
2017-09-18 23:06:23 [http-nio-8656-exec-1] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:508]-FrameworkServlet 'dispatcherServlet': initialization completed in 15 ms
2017-09-18 23:06:31 [Thread-3] INFO 	o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext-[AbstractApplicationContext.java:984]-Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Mon Sep 18 23:02:52 IST 2017]; root of context hierarchy
2017-09-18 23:06:31 [Thread-3] INFO 	o.s.j.e.a.AnnotationMBeanExporter-[MBeanExporter.java:449]-Unregistering JMX-exposed beans on shutdown
2017-09-18 23:06:36 [main] INFO 	com.erp.erp.ErpApplication-[StartupInfoLogger.java:48]-Starting ErpApplication on harshit-ubuntu with PID 9687 (/home/harshit/ERP/erp/target/classes started by harshit in /home/harshit/ERP/erp)
2017-09-18 23:06:36 [main] INFO 	com.erp.erp.ErpApplication-[SpringApplication.java:593]-No active profile set, falling back to default profiles: default
2017-09-18 23:06:36 [main] INFO 	o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext-[AbstractApplicationContext.java:583]-Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Mon Sep 18 23:06:36 IST 2017]; root of context hierarchy
2017-09-18 23:06:36 [background-preinit] INFO 	o.h.validator.internal.util.Version-[Version.java:30]-HV000001: Hibernate Validator 5.3.5.Final
2017-09-18 23:06:37 [main] INFO 	o.s.b.c.e.t.TomcatEmbeddedServletContainer-[TomcatEmbeddedServletContainer.java:89]-Tomcat initialized with port(s): 8656 (http)
2017-09-18 23:06:37 [main] INFO 	o.a.catalina.core.StandardService-[DirectJDKLog.java:179]-Starting service [Tomcat]
2017-09-18 23:06:37 [main] INFO 	o.a.catalina.core.StandardEngine-[DirectJDKLog.java:179]-Starting Servlet Engine: Apache Tomcat/8.5.20
2017-09-18 23:06:37 [localhost-startStop-1] INFO 	o.a.c.c.C.[.[localhost].[/erp]-[DirectJDKLog.java:179]-Initializing Spring embedded WebApplicationContext
2017-09-18 23:06:37 [localhost-startStop-1] INFO 	o.s.web.context.ContextLoader-[EmbeddedWebApplicationContext.java:276]-Root WebApplicationContext: initialization completed in 1264 ms
2017-09-18 23:06:37 [localhost-startStop-1] INFO 	o.s.b.w.s.ServletRegistrationBean-[ServletRegistrationBean.java:190]-Mapping servlet: 'dispatcherServlet' to [/]
2017-09-18 23:06:37 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'characterEncodingFilter' to: [/*]
2017-09-18 23:06:37 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-09-18 23:06:37 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-09-18 23:06:37 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'requestContextFilter' to: [/*]
2017-09-18 23:06:37 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerAdapter-[RequestMappingHandlerAdapter.java:534]-Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Mon Sep 18 23:06:36 IST 2017]; root of context hierarchy
2017-09-18 23:06:37 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerMapping-[AbstractHandlerMethodMapping.java:543]-Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-09-18 23:06:37 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerMapping-[AbstractHandlerMethodMapping.java:543]-Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-09-18 23:06:37 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:06:37 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:06:38 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:06:38 [main] INFO 	o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping-[WebMvcAutoConfiguration.java:549]-Adding welcome page: class path resource [static/index.html]
2017-09-18 23:06:38 [main] INFO 	o.s.j.e.a.AnnotationMBeanExporter-[MBeanExporter.java:431]-Registering beans for JMX exposure on startup
2017-09-18 23:06:38 [main] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:179]-Initializing ProtocolHandler ["http-nio-8656"]
2017-09-18 23:06:38 [main] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:179]-Starting ProtocolHandler ["http-nio-8656"]
2017-09-18 23:06:38 [main] INFO 	o.a.tomcat.util.net.NioSelectorPool-[DirectJDKLog.java:179]-Using a shared selector for servlet write/read
2017-09-18 23:06:38 [main] INFO 	o.s.b.c.e.t.TomcatEmbeddedServletContainer-[TomcatEmbeddedServletContainer.java:201]-Tomcat started on port(s): 8656 (http)
2017-09-18 23:06:38 [main] INFO 	com.erp.erp.ErpApplication-[StartupInfoLogger.java:57]-Started ErpApplication in 2.517 seconds (JVM running for 2.795)
2017-09-18 23:06:41 [http-nio-8656-exec-1] INFO 	o.a.c.c.C.[.[localhost].[/erp]-[DirectJDKLog.java:179]-Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-09-18 23:06:41 [http-nio-8656-exec-1] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:489]-FrameworkServlet 'dispatcherServlet': initialization started
2017-09-18 23:06:41 [http-nio-8656-exec-1] INFO 	o.s.web.servlet.DispatcherServlet-[FrameworkServlet.java:508]-FrameworkServlet 'dispatcherServlet': initialization completed in 12 ms
